verb	sentence	telicity	perfectivity	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25
verb1	target	telic	perf	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1
verb1	target	telic	imperf	2	3	2	2	1	3	2	3	2	2	1	3	2	3	2	2	1	3	2	3	2	2	1	3	2
verb2	target	telic	perf	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1
verb2	target	telic	imperf	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2
verb3	target	atelic	perf	3	4	3	4	7	4	3	4	3	4	7	4	3	4	3	4	7	4	3	4	3	4	7	4	3
verb3	target	atelic	imperf	4	5	3	5	4	6	4	5	3	5	4	6	4	5	3	5	4	6	2	5	3	5	4	6	4
verb4	target	atelic	perf	3	4	4	4	3	4	3	4	4	4	3	4	3	4	4	4	3	4	3	4	4	4	3	4	3
verb4	target	atelic	imperf	4	5	4	6	4	5	4	5	4	6	4	4	6	4	5	4	5	5	4	5	4	6	4	5	4
verb5	target	telic	perf	1	2	1	2	1	1	1	2	1	2	2	1	1	2	1	2	1	1	1	2	1	2	2	1	1
verb5	target	telic	imperf	1	2	2	1	2	3	1	2	2	1	2	2	2	1	2	3	1	3	1	2	2	1	2	3	1
verb6	target	telic	perf	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1
verb6	target	telic	imperf	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2
verb7	target	atelic	perf	4	5	3	4	6	4	5	4	3	4	6	4	4	4	3	4	6	4	4	4	3	4	6	4	4
verb7	target	atelic	imperf	5	6	3	7	4	5	5	6	3	7	4	5	5	6	3	7	4	5	5	7	3	7	4	5	5
verb8	target	atelic	perf	3	4	5	4	4	4	3	4	5	4	4	5	3	4	5	4	4	4	4	4	5	4	4	5	3
verb8	target	atelic	imperf	4	7	4	5	5	7	4	7	4	5	5	7	4	7	4	5	5	7	4	7	4	5	5	7	4
verb1	control	telic	perf	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7
