verb	sentence	telicity	perfectivity	iterativity	mannspec	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25
verb1	target	telic	perf	iter	spec	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1
verb1	target	telic	imperf	iter	spec	2	3	2	2	1	3	2	3	2	2	1	3	2	3	2	2	1	3	2	3	2	2	1	3	2
verb2	target	telic	perf	iter	spec	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1
verb2	target	telic	imperf	iter	spec	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2
verb3	target	atelic	perf	iter	spec	3	4	3	4	7	4	3	4	3	4	7	4	3	4	3	4	7	4	3	4	3	4	7	4	3
verb3	target	atelic	imperf	iter	spec	4	5	3	5	4	6	4	5	3	5	4	6	4	5	3	5	4	6	2	5	3	5	4	6	4
verb4	target	atelic	perf	iter	spec	3	4	4	4	3	4	3	4	4	4	3	4	3	4	4	4	3	4	3	4	4	4	3	4	3
verb4	target	atelic	imperf	iter	spec	4	5	4	6	4	5	4	5	4	6	4	4	6	4	5	4	5	5	4	5	4	6	4	5	4
verb5	target	telic	perf	iter	nospec	1	2	1	2	1	1	1	2	1	2	2	1	1	2	1	2	1	1	1	2	1	2	2	1	1
verb5	target	telic	imperf	iter	nospec	1	2	2	1	2	3	1	2	2	1	2	2	2	1	2	3	1	3	1	2	2	1	2	3	1
verb6	target	telic	perf	iter	nospec	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1
verb6	target	telic	imperf	iter	nospec	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2
verb7	target	atelic	perf	iter	nospec	4	5	3	4	6	4	5	4	3	4	6	4	4	4	3	4	6	4	4	4	3	4	6	4	4
verb7	target	atelic	imperf	iter	nospec	5	6	3	7	4	5	5	6	3	7	4	5	5	6	3	7	4	5	5	7	3	7	4	5	5
verb8	target	atelic	perf	iter	nospec	3	4	5	4	4	4	3	4	5	4	4	5	3	4	5	4	4	4	4	4	5	4	4	5	3
verb8	target	atelic	imperf	iter	nospec	4	7	4	5	5	7	4	7	4	5	5	7	4	7	4	5	5	7	4	7	4	5	5	7	4
verb1	control	telic	perf	iter	spec	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7
verb1	control	telic	imperf	iter	spec	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	6
verb2	control	telic	perf	iter	spec	7	7	6	7	5	7	7	7	6	7	5	7	7	7	6	7	5	7	7	7	6	7	5	7	7
verb2	control	telic	imperf	iter	spec	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
verb3	control	atelic	perf	iter	spec	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7	6	7	4	7	7	7	7	7	4	7
verb3	control	atelic	imperf	iter	spec	7	4	7	7	7	7	6	4	7	6	7	6	7	4	6	7	7	7	6	4	7	6	7	6	6
verb4	control	atelic	perf	iter	spec	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7
verb4	control	atelic	imperf	iter	spec	7	7	7	7	7	7	7	7	6	7	7	7	7	5	7	7	7	7	6	7	6	7	7	7	7
verb5	control	telic	perf	iter	nospec	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7
verb5	control	telic	imperf	iter	nospec	7	7	5	7	5	7	7	7	5	7	5	7	7	7	5	7	5	7	7	7	5	7	5	7	7
verb6	control	telic	perf	iter	nospec	7	7	7	7	7	7	7	6	7	6	7	7	7	7	7	7	7	7	7	6	7	6	7	7	7
verb6	control	telic	imperf	iter	nospec	7	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	6	7	7	7	4	7	7
verb7	control	atelic	perf	iter	nospec	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7
verb7	control	atelic	imperf	iter	nospec	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7
verb8	control	atelic	perf	iter	nospec	7	7	7	4	7	7	5	7	7	4	7	7	7	7	7	4	7	7	7	7	6	4	7	7	7
verb8	control	atelic	imperf	iter	nospec	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7
verb9	filler_no	telic	perf	iter	spec	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7
verb9	filler_no	telic	imperf	iter	spec	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6
verb10	filler_no	telic	perf	iter	spec	7	7	6	7	5	7	7	7	6	7	5	7	7	7	6	7	5	7	7	7	6	7	5	7	7
verb10	filler_no	telic	imperf	iter	spec	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7
verb11	filler_no	atelic	perf	iter	spec	6	7	6	6	7	4	6	7	6	6	7	4	6	7	6	6	7	4	6	7	6	6	7	4	6
verb11	filler_no	atelic	imperf	iter	spec	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7
verb12	filler_no	atelic	perf	iter	spec	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7
verb12	filler_no	atelic	imperf	iter	spec	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7
verb13	filler_no	telic	perf	iter	nospec	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6
verb13	filler_no	telic	imperf	iter	nospec	7	7	5	7	5	7	7	7	5	7	5	7	7	7	5	7	5	7	7	7	5	7	5	7	7
verb14	filler_no	telic	perf	iter	nospec	7	7	7	6	7	7	7	7	7	6	5	7	7	7	7	6	7	7	7	7	7	6	5	7	7
verb14	filler_no	telic	imperf	iter	nospec	7	7	7	6	4	6	7	7	7	6	4	6	7	7	7	6	4	6	7	7	7	6	4	6	7
verb15	filler_no	atelic	perf	iter	nospec	6	7	6	7	7	7	6	7	6	7	7	7	6	7	6	7	7	7	6	7	6	7	7	7	6
verb15	filler_no	atelic	imperf	iter	nospec	7	6	5	7	7	7	7	6	5	7	7	7	7	6	5	7	7	7	7	6	5	7	7	7	7
verb16	filler_no	atelic	perf	iter	nospec	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7
verb16	filler_no	atelic	imperf	iter	nospec	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7
verb9	filler_dobj	telic	perf	iter	spec	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
verb9	filler_dobj	telic	imperf	iter	spec	1	2	1	1	3	1	1	2	1	1	3	1	1	2	1	1	3	1	1	2	1	1	3	1	1
verb10	filler_dobj	telic	perf	iter	spec	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1
verb10	filler_dobj	telic	imperf	iter	spec	2	2	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	1	2	2	1	2	1	1	2
verb11	filler_dobj	atelic	perf	iter	spec	1	1	2	1	4	2	1	1	2	1	4	2	1	1	2	1	4	2	1	1	2	1	4	2	1
verb11	filler_dobj	atelic	imperf	iter	spec	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
verb12	filler_dobj	atelic	perf	iter	spec	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2
verb12	filler_dobj	atelic	imperf	iter	spec	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1
verb13	filler_dobj	telic	perf	iter	nospec	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1
verb13	filler_dobj	telic	imperf	iter	nospec	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
verb14	filler_dobj	telic	perf	iter	nospec	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1
verb14	filler_dobj	telic	imperf	iter	nospec	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	3	1
verb15	filler_dobj	atelic	perf	iter	nospec	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
verb15	filler_dobj	atelic	imperf	iter	nospec	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1
verb16	filler_dobj	atelic	perf	iter	nospec	1	2	1	1	2	4	1	2	1	1	2	4	1	2	1	1	2	4	1	2	1	1	2	4	1
verb16	filler_dobj	atelic	imperf	iter	nospec	1	1	1	1	1	1	2	1	1	3	1	2	1	1	1	1	1	1	2	1	1	3	1	2	2
verb1	target	telic	perf	noiter	spec	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1
verb1	target	telic	imperf	noiter	spec	2	3	2	2	1	3	2	3	2	2	1	3	2	3	2	2	1	3	2	3	2	2	1	3	2
verb2	target	telic	perf	noiter	spec	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1
verb2	target	telic	imperf	noiter	spec	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2
verb3	target	atelic	perf	noiter	spec	3	4	3	4	7	4	3	4	3	4	7	4	3	4	3	4	7	4	3	4	3	4	7	4	3
verb3	target	atelic	imperf	noiter	spec	4	5	3	5	4	6	4	5	3	5	4	6	4	5	3	5	4	6	2	5	3	5	4	6	4
verb4	target	atelic	perf	noiter	spec	3	4	4	4	3	4	3	4	4	4	3	4	3	4	4	4	3	4	3	4	4	4	3	4	3
verb4	target	atelic	imperf	noiter	spec	4	5	4	6	4	5	4	5	4	6	4	4	6	4	5	4	5	5	4	5	4	6	4	5	4
verb5	target	telic	perf	noiter	nospec	1	2	1	2	1	1	1	2	1	2	2	1	1	2	1	2	1	1	1	2	1	2	2	1	1
verb5	target	telic	imperf	noiter	nospec	1	2	2	1	2	3	1	2	2	1	2	2	2	1	2	3	1	3	1	2	2	1	2	3	1
verb6	target	telic	perf	noiter	nospec	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1	2	2	3	1	4	1
verb6	target	telic	imperf	noiter	nospec	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2	3	3	3	2	3	2
verb7	target	atelic	perf	noiter	nospec	4	5	3	4	6	4	5	4	3	4	6	4	4	4	3	4	6	4	4	4	3	4	6	4	4
verb7	target	atelic	imperf	noiter	nospec	5	6	3	7	4	5	5	6	3	7	4	5	5	6	3	7	4	5	5	7	3	7	4	5	5
verb8	target	atelic	perf	noiter	nospec	3	4	5	4	4	4	3	4	5	4	4	5	3	4	5	4	4	4	4	4	5	4	4	5	3
verb8	target	atelic	imperf	noiter	nospec	4	7	4	5	5	7	4	7	4	5	5	7	4	7	4	5	5	7	4	7	4	5	5	7	4
